,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
ED,0.0,0.0053575748,0.0057508287,0.0097863631,0.0021581732000000003,0.0019259662,0.0016769054000000002,0.0024830759,0.030525826000000002,0.00243626,0.0018136079000000002,0.0018145442,0.0019746548,0.027342341800000003,0.0019503105,0.0017508745,0.0016085541000000001,0.0016694148000000002,0.0364246348,0.0020373881,0.0019446925,0.0017873910000000002,0.0019306478,0.0,0.0027265188,0.0020308339,0.0021647275,0.0028763298,0.060488029699999994,0.0021169751999999997,0.0043463504,0.002586071,0.002389444,0.0158256198,0.0051328583,0.0017461929,0.0014549978,0.0017012496,0.0285595564,0.001805181,0.0018229710999999999,0.0016357073,0.0016918865,0.0017892636,0.0188218401
EL,0.0,0.023337548399999998,0.0092482457,0.034164065099999995,0.0063265693,0.0049250545000000005,0.0027819973999999997,0.0093224,0.1164752542,0.0043318207,0.0023074103,0.0021071939,0.0035976939,0.0032046765000000002,0.0015881144,0.004776746,0.0040352038,0.0047470843,0.100902867,0.0040129575,0.0060373678,0.0031527685,0.003582863,0.0,0.0383908559,0.0052735793,0.0045394525,0.0061708454000000005,0.0409120995,0.0085067035,0.0201489167,0.0145873499,0.0077354996,0.059821426799999994,0.0225960061,0.006504539399999999,0.0061485992,0.0036940943,0.1157337119,0.0030860297,0.0040722809,0.0025743656,0.0021516865,0.0022629178,0.0016845149
MIR,0.0,0.0141052633,0.0102403101,0.015217099199999999,0.0178643274,0.0134699285,0.0140523188,0.0173348818,0.010981534,0.0144758753,0.013152261200000001,0.0127287046,0.0127816492,0.013734651399999999,0.012199258999999999,0.010981534,0.0127287046,0.0112462568,0.0119874807,0.0115109796,0.013152261200000001,0.0135758177,0.0135228731,0.0065871351000000005,0.0160642122,0.0035587059999999996,0.0148994318,0.0174407709,0.0145288198,0.0133110949,0.0148464872,0.0155347666,0.014581764399999999,0.0138405405,0.0135758177,0.0126228155,0.014687653500000002,0.0135758177,0.012411037199999999,0.0102403101,0.009869698100000001,0.0117757025,0.013046371999999999,0.0111403677,0.010769755700000001
SIR,0.0,0.0092551551,0.0529124733,0.0627959141,0.0662649364,0.053305192800000005,0.05507243059999999,0.047348947,0.0584759996,0.0570360281,0.0481998392,0.04905073150000001,0.0457126157,0.052454300499999995,0.0456471625,0.0421126869,0.046825320999999996,0.0458435222,0.047676213200000005,0.045516256,0.0565124021,0.0559233228,0.0552687903,0.0,0.0010211362,0.0556615098,0.0594577984,0.06430133889999999,0.0525197538,0.0555306033,0.060766863399999996,0.06430133889999999,0.061879568600000004,0.0606359569,0.0021403868,0.0007920497999999999,0.007357010799999999,0.0620759284,0.06423588570000001,0.0484616522,0.0443380975,0.047218040499999996,0.053305192800000005,0.0516034083,0.0872099766
